zipCode,zone,trange,zonetitle,lastSpringFrost,firstFallFrost
50212,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50213,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50214,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50216,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50217,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50218,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50219,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50220,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50222,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50223,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50225,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50226,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50227,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50228,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50229,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50230,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50231,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50232,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50233,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50234,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50235,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50236,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50237,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50238,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50239,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50240,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50241,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50242,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50243,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50244,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50246,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50247,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50248,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50249,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50250,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50251,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50252,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50254,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50255,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50256,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50257,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50258,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50259,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50261,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50262,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50263,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50264,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50265,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50266,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50268,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50269,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50271,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50272,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50273,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50274,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50275,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50276,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50277,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50278,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50301,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50302,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50303,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50304,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50305,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50306,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50307,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50308,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50309,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50310,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50311,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50312,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50313,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50314,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50315,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50316,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50317,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50318,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50319,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50320,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50321,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50322,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50323,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50324,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50325,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50327,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50328,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50329,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50330,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50331,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50332,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50333,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50334,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50335,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50336,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50339,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50340,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50359,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50360,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50361,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50362,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50363,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50364,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50367,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50368,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50369,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
50380,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50381,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50391,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50392,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50393,5b,-15 to -10,5b: -15 to -10,2000-04-05,2000-10-02
50394,5a,-20 to -15,5a: -20 to -15,2000-04-05,2000-10-02
